what,kind,bundleId,bundleVersion,description,time
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527292734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527292828
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527298359
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527312156
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527314531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527315765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527320968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527324250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527329734
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527337265
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527341265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527341828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527342843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527343687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527344671
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527348640
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527355828
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527371906
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527399578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527401421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527404718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527412750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527413593
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527415171
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527420859
