what,kind,bundleId,bundleVersion,description,time
stopped,bundle,gcml.edit,1.0.0,gcml.edit,1240841480940
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240841480768
started,bundle,org.eclipse.emf.validation.ui,1.2.0.v200805130238,org.eclipse.emf.validation.ui,1240841574753
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1240841579753
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1240841625001
started,bundle,org.eclipse.jdt.core,3.4.2.v_883_R34x,org.eclipse.jdt.core,1240841625813
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1240841625845
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1240841626110
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1240841626235
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1240841627063
started,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1240841627126
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1240841627282
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1240841627407
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240841627438
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240841629095
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240841629376
stopped,bundle,gcml.diagram,1.0.0.200904231620,gcml.diagram,1240841629657
stopped,bundle,gcml.editor,1.0.0,gcml.editor,1240841629657
stopped,bundle,gcml.edit,1.0.0,gcml.edit,1240841629657
stopped,bundle,gcml.tests,1.0.0,gcml.tests,1240841629673
stopped,bundle,gcml,1.0.0,gcml,1240841629673
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1240841629673
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen.edit,1240841629704
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen,1240841629766
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1240841629798
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.editor.ui,1240841629876
