what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526365687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526366593
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240526367656
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240526370656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526371234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526372218
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240526374171
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240526417906
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240526423562
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240526425859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526426921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526427703
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240526429703
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240526435890
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240526441468
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240526442515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526447203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526448078
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240526449343
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1240526453125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1240526459890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240526703296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527257343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527261000
opened,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527292656
