what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527675593
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527685906
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527696781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527698281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527701875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527704390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527705562
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527707265
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527713312
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527733156
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527751140
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527755734
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1240527784937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527787156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527983656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240528087609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240528114578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240528115781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240528115781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240528115859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240528880828
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1240528882406
started,bundle,org.eclipse.jdt.core,3.4.2.v_883_R34x,org.eclipse.jdt.core,1240528883109
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1240528883140
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1240528883281
