what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1240587825654
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240587826858
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240587828483
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240587863420
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240587902685
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240587915388
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240587923951
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240592664894
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1240592666534
started,bundle,org.eclipse.jdt.core,3.4.2.v_883_R34x,org.eclipse.jdt.core,1240592667222
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1240592667253
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1240592667487
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1240592667597
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1240592668019
started,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1240592668112
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1240592668284
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1240592668753
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240592668784
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240592670769
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240592671112
stopped,bundle,gcml.diagram,1.0.0.200904231620,gcml.diagram,1240592671909
stopped,bundle,gcml.editor,1.0.0,gcml.editor,1240592671940
stopped,bundle,gcml.edit,1.0.0,gcml.edit,1240592671940
stopped,bundle,gcml.tests,1.0.0,gcml.tests,1240592671972
stopped,bundle,gcml,1.0.0,gcml,1240592671972
