what,kind,bundleId,bundleVersion,description,time
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527441921
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527451265
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527456171
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527469218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527474046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527475078
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527484343
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527491000
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527509703
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527528750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527537578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527538546
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527540125
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527564937
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527571921
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527578546
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527595578
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527613968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527615640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527624171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527631562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240527632718
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527633968
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1240527646812
activated,editor,gcml.diagram,1.0.0.200904231620,gcml.diagram.part.GcmlDiagramEditorID,1240527657812
