what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.1.1.v20080716-1600,org.eclipse.gmf.runtime.emf.commands.core,1240518539280
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240518539593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240518541921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240518543796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240518560859
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1240518564999
stopped,bundle,gcml.diagram,1.0.0.200904231620,gcml.diagram,1240518565249
stopped,bundle,gcml.editor,1.0.0,gcml.editor,1240518565249
stopped,bundle,gcml.edit,1.0.0,gcml.edit,1240518565249
stopped,bundle,gcml.tests,1.0.0,gcml.tests,1240518565249
stopped,bundle,gcml,1.0.0,gcml,1240518565249
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1240518565249
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen.edit,1240518565249
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen,1240518565249
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1240518565249
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.editor.ui,1240518565249
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.ui,1240518565249
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1240518565249
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1240518565249
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1240518565249
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1240518565249
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1240518565249
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1240518565249
stopped,bundle,org.eclipse.emf.compare.ui,0.8.1.v200809170822,org.eclipse.emf.compare.ui,1240518565249
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1240518565249
